Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,22.280000686645508,22.549999237060547,22.145000457763672,22.475000381469727,22.475000381469727,20
2019-01-03,22.21500015258789,22.2549991607666,22.114999771118164,22.2549991607666,22.2549991607666,10
2019-01-04,22.844999313354492,22.954999923706055,22.809999465942383,22.93000030517578,22.93000030517578,40
2019-01-07,21.90999984741211,21.90999984741211,21.469999313354492,21.530000686645508,21.530000686645508,35
2019-01-08,22.165000915527344,22.165000915527344,22.09000015258789,22.09000015258789,22.09000015258789,10
2019-01-09,22.514999389648438,22.514999389648438,21.719999313354492,21.719999313354492,21.719999313354492,20
2019-01-10,21.704999923706055,21.704999923706055,21.674999237060547,21.674999237060547,21.674999237060547,5
2019-01-11,22.389999389648438,22.389999389648438,22.084999084472656,22.2549991607666,22.2549991607666,75
2019-01-14,21.90999984741211,21.90999984741211,21.674999237060547,21.674999237060547,21.674999237060547,45
2019-01-15,22.03499984741211,22.03499984741211,21.94499969482422,22.0,22.0,20
2019-01-16,22.299999237060547,22.299999237060547,22.0049991607666,22.0049991607666,22.0049991607666,20
2019-01-17,22.639999389648438,23.135000228881836,22.639999389648438,22.9950008392334,22.9950008392334,30
2019-01-18,22.84000015258789,23.014999389648438,22.524999618530273,22.604999542236328,22.604999542236328,90
2019-01-22,21.80500030517578,21.885000228881836,21.604999542236328,21.815000534057617,21.815000534057617,125
2019-01-23,22.225000381469727,22.299999237060547,22.1299991607666,22.190000534057617,22.190000534057617,45
2019-01-24,21.719999313354492,21.815000534057617,21.280000686645508,21.280000686645508,21.280000686645508,80
2019-01-25,20.735000610351562,20.895000457763672,20.690000534057617,20.889999389648438,20.889999389648438,30
2019-01-28,20.520000457763672,20.549999237060547,20.5,20.549999237060547,20.549999237060547,10
2019-01-29,20.600000381469727,20.600000381469727,20.584999084472656,20.584999084472656,20.584999084472656,24
2019-01-30,20.18000030517578,20.18000030517578,20.18000030517578,20.18000030517578,20.18000030517578,20
2019-01-31,19.665000915527344,19.850000381469727,19.665000915527344,19.850000381469727,19.850000381469727,5
