generator:output:electricity,manufacturer,model,name,longitude,latitude
,,,,10.072020405279089,51.42471754635128
,,,,10.069001246875018,51.4278514427704
,,,,10.065784712380212,51.429342072398576
,Senvion,,,9.778877459148653,51.644852987612566
850 kW,Vestas,,,10.146994810204617,51.61072613558616
,Gamesa,,,10.148182008681657,51.60663258598306
,Gamesa,,,10.158842108681657,51.611188785983074
850 kW,Vestas,,,10.156645710204616,51.60770703558616
3.45 MW,Vestas,V126 oder V136,WEA 2,10.158514575470594,51.60387351578586
2.30 MW,Enercon GmbH,E-82 E2,Windenergie Osterkling,11.95227078321685,48.01148165525196
3.6 MW,Vestas,V136,WEA 5,10.16939971762662,51.60041081530751
3.6 MW,Vestas,V126 oder V136,WEA 3,10.166417752236187,51.60343670360825
3.6 MW,Vestas,,WEA 7,10.17230986204665,51.61249543929882
3.6 MW,Vestas,,WEA 8,10.16833216204665,51.60967553929882
3.6 MW,Vestas,V126 oder V136,WEA 1,10.153507243334227,51.61221271626489
3.6 MW,Vestas,,WEA 4,10.172775224524608,51.60394105179772
3.6 MW,Vestas,V126,WEA 6,10.163281562046652,51.61272363929883
2000 kW,,,REPower MM 82 Windkraftanlagen Rosenberg-Hirschlanden,9.503893036571197,49.45902397576174
3 MW,Enercon,E-115,,9.852955295218806,51.44807725006811
3 MW,Enercon,E-115,,9.857033598177006,51.45051861100184
3 MW,Enercon,E-115,,9.858263397440854,51.453797960763744
3 MW,Enercon,E-115,,9.858325103847774,51.45678180337872
3.0 MW,Enercon,E-115,,10.22327051529208,51.66614151514498
3.0 MW,Enercon,E-115,,10.22897286697624,51.66855577268105
3.0 MW,Enercon,E-115,,10.223349632965506,51.67041391374365
3.0 MW,Enercon,E-115,,10.215992328713016,51.6697356423262
3.0 MW,Enercon,E-115,,10.208743655283644,51.666195162803994
3.0 MW,Enercon,E-115,,10.21305919453641,51.66419624683933
,,,,11.30413312413693,50.04640700221757
3300 kW,Nordex,N131,,10.011628841286935,49.27303038146745
3300 kW,Nordex,N131,,10.00906886367853,49.26926635516866
yes,,,,9.657263908529282,52.08409348312759
,,,,9.657038015329697,52.081820609664476
,,,,9.656441826430715,52.07882249154244
,,,,9.654319685379601,52.076762524587515
,,,,9.648348842847804,52.07612736345609
3.3 MW,Vestas,,Windkraftanlage Weihbüchl,12.209182928786635,48.533711883832765
2 MW,Vestas,V90,,13.1721421475297,51.13167823946831
,Senvion,MM92,,13.17180248236249,51.13386543593286
yes,,,,13.168227300418147,51.129451242656906
yes,,,,13.169302022898483,51.1281968714028
yes,,,,13.17036976485391,51.12667420845722
,,,Windpark Neuselhalden,10.000615459518711,48.69138602147795
,Vestas,,,10.09886803934332,49.7532897338141
,,,,9.183168835261139,50.39545921426855
,,,,9.179525997900566,50.394958973574695
,,,,9.179948124616153,50.39714059102234
1.5 MW,Südwind,S-77,,6.516957695434477,51.4801007171415
,,,,11.804393139975165,53.592134355496924
,,,,11.800319055385158,53.59234137888122
,,,,8.89299219251165,54.628584403034644
,,,,8.895066778636764,54.63020122718223
,,,,8.872521359300556,54.64160485025366
,,,,8.875338181442734,54.639272419831116
,,,,9.360502019257465,50.69223575689139
,,,,9.386899419257466,50.69587995689138
,,,,9.384012614710526,50.699363702149576
,,,,9.377214595802723,50.69643639978851
,,,,9.36995582253093,50.69265600513021
,,,,9.195073748723464,50.59570834548461
,,,,9.20456334872346,50.592054345484605
2350 kW,,,,6.949718035479996,51.61622081262472
2350 kW,,,,6.946808345380844,51.61148411503287
,,,,9.673519894711866,51.64101741950766
,,,,9.671393914720422,51.64212411519435
,,,,9.670012561329754,51.63909484170073
,,,,9.668277810877472,51.640489561550446
,,,,9.365876895802721,50.6977657997885
,Enercon,,,8.841145,52.9379478
,Enercon,,,8.8439345,52.9374046
,Enercon,,,8.8467455,52.9367252
,Enercon,,,8.8497281,52.9365506
,,,03WEA26342,7.7497923,51.622258
,,,04WEA26343,7.7544398,51.6223677
1300 kW,AN Bonus,,,9.7319467,52.2796292
