Unit MaStR Number,Postal Code,Longitude,Latitude,Gross Power (kW),Net Rated Power (kW),Generation MaStR Number,Name of Wind Farm,Location,Hub Height (m),Rotor Diameter (m),EEG MaStR Number,Date of Final Decommissioning,North Sea Cluster,Baltic Sea Cluster
SEE951022948132,55599,8.010326,49.824015,5560,5560,SGE945730599847,Windpark Gau-Bickelheim Repowering Phase 3,888,166.6,160,,,,
SEE998914715793,99706,10.722006,51.378031,3500,3500,SGE922495246100,Immenrode,888,131,138,,,,
SEE978530140902,41747,6.243998,51.292726,4260,4260,SGE960411164169,Nettetal -Flugplatz,888,130.64,138.25,,,,
SEE910615340999,32699,9.05506,52.08147,4200,4200,SGE931852503350,VSB Windpark Schnorbeck-Extertal,888,130.07,138.25,,,,
SEE914949404013,41569,6.69964,51.018828,5600,5600,SGE957034370893,Windpark Rommerskirchen-S??d,888,151,150,,,,
SEE942003329408,32699,9.052472,52.077479,4200,4200,SGE931852503350,VSB Windpark Schnorbeck-Extertal,888,130.07,138.25,,,,
SEE962543116047,65597,8.125401,50.334125,4500,4500,,VSB Windpark H??nfelden,888,164,149,,,,
SEE981041141047,41569,6.707089,51.017818,5600,5600,SGE908358200717,Windpark Rommerskirchen-S??d,888,151,150,,,,
SEE943474310469,17337,13.851152,53.464556,5600,5600,SGE947523220686,Windpark Milow IV,888,149,162,,,,
SEE920306033031,17337,13.866254,53.469923,5600,5600,SGE947523220686,Windpark Milow IV,888,149,162,,,,
SEE972199183294,56858,7.345134,49.986824,3450,3450,SGE904817474941,Windpark R??delhausen,888,132,136,,,,
SEE996585923837,55483,7.342585,49.982641,3450,3450,SGE904817474941,Windpark R??delhausen,888,116.5,117,,,,
SEE915523032004,31249,10.003447,52.245398,7200,7200,SGE947089764891,WP Clauen Repowering,888,169,162,,,,
SEE937029969127,55599,8.001351,49.806147,5560,5560,SGE945730599847,Windpark Gau-Bickelheim Repowering Phase 3,888,166.6,160,,,,
SEE995575512013,55237,8.021047,49.79912,5560,5560,SGE945730599847,Windpark Gau-Bickelheim Repowering Phase 3,888,166.6,160,,,,
SEE974039182252,55237,8.011752,49.794292,5560,5560,SGE945730599847,Windpark Gau-Bickelheim Repowering Phase 3,888,166.6,160,,,,
SEE948400188464,55597,8.002428,49.813937,5560,5560,SGE945730599847,Windpark Gau-Bickelheim Repowering Phase 3,888,166.6,160,,,,
SEE977281579528,15868,14.340663,52.052135,6000,6000,SGE993189770157,WP Trebitz,888,165,160,,,,
SEE959173613794,96486,10.924893,50.368853,7200,7200,SGE979850484080,Lautertal Repowering,888,175,172,,,,
SEE942108450700,96486,10.92782,50.365026,7200,7200,SGE979850484080,Lautertal Repowering,888,175,172,,,,
SEE946528102966,31832,9.667959,52.223743,4200,4200,SGE909721842497,Deister RPP,888,112,136,,,,
SEE953436765930,25923,8.914616,54.891983,3600,3600,SGE912965592691,B??rgerwindpark S??derl??gum GmbH ??? Co. KG,888,91,116.8,,,,
SEE963495966605,27809,8.586096,53.126412,4200,4200,SGE928433435513,Windpark Lemwerder,888,135,136,,,,
SEE964475148295,25923,8.930797,54.880352,3600,3600,SGE970914830812,B??rgerwindpark S??derl??gum GmbH ??? Co. KG,888,91,116.8,,,,
SEE978732212148,34479,9.221866,51.461869,2300,2300,SGE981118784894,Liebenau-Ersen,888,108.38,82,,,,
SEE953569424483,17337,13.829528,53.405134,5600,5600,SGE931489275262,KL Kleisth??he,888,148,150,,,,
SEE956698879377,17337,13.83452,53.404095,5600,5600,SGE931489275262,KL Kleisth??he,888,148,150,,,,
SEE966108964661,7407,11.260327,50.821426,5600,5600,SGE965510442705,Windpark Treppendorf Erweiterung,888,169,150,,,,
SEE962280166954,96486,10.929377,50.361089,7200,7200,SGE979850484080,Lautertal Repowering,888,175,172,,,,
SEE907031640116,17337,13.840338,53.40256,5600,5600,SGE931489275262,KL Kleisth??he,888,148,150,,,,
SEE919249238924,17337,13.816633,53.416072,5600,5600,SGE931489275262,KL Kleisth??he,888,148,150,,,,
SEE939652371476,17337,13.821684,53.414091,5600,5600,SGE931489275262,KL Kleisth??he,888,148,150,,,,
SEE946472760137,17337,13.826835,53.416092,5600,5600,SGE931489275262,KL Kleisth??he,888,148,150,,,,
SEE940104335472,7407,11.266743,50.825187,5600,5600,SGE965510442705,Windpark Treppendorf Erweiterung,888,169,150,,,,
SEE945769386999,7407,11.261874,50.824634,5600,5600,SGE965510442705,Windpark Treppendorf Erweiterung,888,169,150,,,,
SEE918189854515,27809,8.591843,53.125497,4200,4200,SGE984660430202,Windpark Lemwerder,888,135,136,,,,
SEE971966722858,27809,8.599119,53.124155,4200,4200,SGE969294280621,Windpark Lemwerder,888,135,136,,,,
SEE993194959554,65597,8.123011,50.330419,4500,4500,,VSB Windpark H??nfelden,888,164,149,,,,
SEE993427791135,27809,8.605655,53.123557,4200,4200,SGE988831050916,Windpark Lemwerder,888,135,136,,,,
SEE915318124860,27809,8.609391,53.120216,4200,4200,SGE997075902820,Windpark Lemwerder,888,135,136,,,,
SEE901972498065,27809,8.613154,53.117172,4200,4200,SGE964597673699,Windpark Lemwerder,888,135,136,,,,
SEE902542648347,27809,8.60199,53.119023,4200,4200,SGE920705417487,Windpark Lemwerder,888,135,136,,,,
SEE997890193175,27809,8.612437,53.11379,4200,4200,SGE919698046330,Windpark Lemwerder,888,135,136,,,,
SEE927329003522,28777,8.524868,53.217137,7000,7000,SGE933851122921,Windpark Bremen Rekum Repowering,888,164,163,,,,
SEE934244803151,23619,10.551855,53.877496,4200,4200,SGE926352636172,WP Heilshoop,888,130.07,138.25,,,,
SEE913489292982,79194,7.900768,48.012796,4260,4260,SGE944985073911,Windpark Ro??kopf Repowering,888,160,138.25,,,,
SEE982534612129,18249,12.056449,53.455949,4800,4800,SGE925414197309,Tarnow Repowering,888,125.4,133.2,,,,
SEE917202841525,24576,9.812791,53.916594,6000,6000,SGE912564169751,Windpark Weddelbrook,888,148,150,,,,
SEE977569052330,79117,7.902464,48.010572,4260,4260,SGE944985073911,Windpark Ro??kopf Repowering,888,160,138.5,,,,
SEE948799950598,25563,9.818062,53.919066,6000,6000,SGE958603916047,Windpark Weddelbrook,888,148,150,,,,
SEE934693180759,18249,12.117198,53.455521,4800,4800,SGE920423838342,Tarnow Repowering,888,125.4,133.2,,,,
SEE983297905022,18249,12.18701,53.454423,4800,4800,SGE906302569620,Tarnow Repowering,888,125.4,133.2,,,,
SEE965908785889,24576,9.819631,53.916746,6000,6000,SGE949763118945,Windpark Weddelbrook,888,148,150,,,,
SEE972005375394,25926,9.118278,54.871611,6000,6000,SGE952782909135,BWP Bramstedtlund,888,105,150,,,,
SEE993794704240,41189,6.425042,51.092624,6800,6800,SGE994809799503,WP M??nchengladbach Wanlo,888,164,163,,,,
SEE996823302172,26487,7.31592,53.342538,4260,4260,SGE983187217853,Blomberg E-138/EP3,888,131,138,,,,
SEE915163727667,38170,10.787511,52.085075,6200,6200,SGE945210152487,WP Uehrde III,888,169,162,,,,
SEE992780909683,38170,10.791326,52.082292,6200,6200,SGE945210152487,WP Uehrde III,888,169,162,,,,
SEE947769327668,59519,8.083921,51.503297,4260,4260,SGE922749548462,M??hnesee-Westrich,888,130.64,138.25,,,,
SEE943546776711,38170,10.796814,52.083387,6200,6200,SGE945210152487,WP Uehrde III,888,169,162,,,,
SEE999245020457,17328,14.12987,53.270147,6000,6000,SGE978940076358,Gr??nz IV,888,169,162,,,,
SEE915415141562,59519,8.086859,51.501079,4260,4260,SGE925577807770,M??hnesee-Delecke,888,130.64,138.25,,,,
